ID,Foerderung,Website,Frage,Hilfestellung,Denkmalschutz,Maßnahmen nicht begonnen,min. Alter,max. Alter
2548,"Bayerisches Städtebauförderungsprogramm - Sanierungsgebiet ""Dorfkern Ebnath""",https://ebnath.de/bauen-wohnen-leben/bauen-und-wohnen/foerderungen-und-foerdermoeglichkeiten/bayerisches-staedtebaufoerderungsprogramm-sanierungsgebiet-dorfkern-ebnath-2,Entspricht die geplante Maßnahme den einschlägigen Rechtsvorschriften und den Festlegungen der Gemeinde Ebnath?,,,,,
2157,,,Entspricht die Maßnahme den Anforderungen des LANUV-Arbeitsblatts 39 „Wasserwirtschaftliche Anforderungen an die Nutzung von oberflächennaher Erdwärme“?,,,,,
2270,,,Entspricht die Maßnahme den Anforderungen dieser Richtlinie und ist sie nach anderen öffentlich-rechtlichen Vorschriften zulässig?,,,,,
2549,,,"Entstehen durch die Maßnahme Mehrkosten gegenüber einem normalen, zumutbaren Bauunterhalt aufgrund einer angestrebten städtebaulichen Zielsetzung?",,,,,
2242,,,Erbringt die thermische Solaranlage einen Mindestenergieertrag von 525 Kilowattstunden pro m² und Jahr?,,,,,
1949,,,"Erbringt ein unabhängiges Prüfinstitut den Nachweis, dass der Mindestenergieertrag pro Kollektor 525 Kilowattstunden pro m² und Jahr beträgt?",,,,,
2036,,,Erfolgt der Betrieb des Ladepunkts über eine Photovoltaik-Anlage mit mindestens 6 kWp Leistung oder durch den Bezug von 100 % zertifiziertem Ökostrom?,,,,,
1660,,,"Erfolgt der Einbau der neuen Anlage in Verbindung mit einer Optimierung des gesamten Heizungsverteilsystems, einschließlich der Durchführung des hydraulischen Abgleichs bzw. der Anpassung der Luftvolumenströme?",,,,,
1801,,,"Erfolgt der Einbau in Verbindung mit einer Optimierung des gesamten Heizungsverteilsystems, einschließlich der Durchführung des hydraulischen Abgleichs bzw. der Anpassung der Luftvolumenströme?",,,,,
2019,,,"Erfolgt der Einbau in Verbindung mit einer Optimierung des gesamten Heizungsverteilsystems, einschließlich der Durchführung des hydraulischen Abgleichs bzw. der Anpassung der Luftvolumenströme?",,,,,
2051,,,"Erfolgt der Einbau in Verbindung mit einer Optimierung des gesamten Heizungsverteilsystems, einschließlich der Durchführung des hydraulischen Abgleichs bzw. der Anpassung der Luftvolumenströme?",,,,,
2124,,,"Erfolgt der Einbau in Verbindung mit einer Optimierung des gesamten Heizungsverteilsystems, einschließlich der Durchführung des hydraulischen Abgleichs bzw. der Anpassung der Luftvolumenströme?",,,,,
2138,,,"Erfolgt der Einbau in Verbindung mit einer Optimierung des gesamten Heizungsverteilsystems, einschließlich der Durchführung des hydraulischen Abgleichs bzw. der Anpassung der Luftvolumenströme?",,,,,
1831,,,Erfolgt der Maßnahmenbeginn erst nach der Bewilligung durch die Stadt Dortmund?,,,,,
2156,,,Erfolgt die Auslegung und Ausführung der Erdwärmeanlage gemäß der Richtlinie VDI 4640 „Thermische Nutzung des Untergrundes“?,,,,,
2225,,,,,,,,
2411,,,Erfolgt die Ermittlung der Strommenge gemäß dem Messstellenbetriebsgesetz?,,,,,
1603,,,"Erfolgt die Förderung für eine Speicherkapazität, die in kWh maximal 1,5 Mal so groß ist wie die Nennleistung der neuen Photovoltaikanlage in kWp?",,,,,
2560,,,Erfolgt die Installation ordnungsgemäß gemäß den Vorgaben des Netzbetreibers Westfalen Weser Netz GmbH?,,,,,
1584,,,Erfolgt die Instandsetzung als Teil einer umfassenden Modernisierung?,,,,,
2287,,,Erfüllen die geplanten Maßnahmen die Voraussetzungen des KfW-Förderprogramms „Energieeffizient Sanieren“ (Programmnummer 261)?,,,,,
2387,,,Erfüllen Sie die Bagatellgrenze von 350 Euro für Zuwendungen?,,,,,
2208,,,"Erfüllt das Bestandsgebäude die Anforderungen des Standards „KlimaGebäude.NRW“ (wärmebezogene CO2-Emissionen ≤ 10 kg/m²/Jahr, Transmissionswärmeverlust ≤ 0,38 W/m²K)?",,,,,
2212,,,Erfüllt das Gebäude die energetischen Anforderungen des GEG?,,,,,
1781,,,Erfüllt das Vorhaben die vorgeschriebenen konstruktiven Anforderungen an die Holzbauweise?,,,,,
2207,,,"Erfüllt der Neubau die Anforderungen des Standards „KlimaGebäude.NRW“ (wärmebezogene CO2-Emissionen ≤ 5 kg/m²/Jahr, Transmissionswärmeverlust ≤ 0,30 W/m²K)?",,,,,
1970,,,Erfüllt die Gesellschaft die Definition einer Bürgerenergiegesellschaft nach § 3 Nr. 15 EEG?,,,,,
2158,,,"Erfüllt die Jahresarbeitszahl der angeschlossenen Wärmepumpenanlage die Mindestanforderungen von 3,0 gemäß BAFA?",,,,,
1964,,,"Erfüllt die Jahresarbeitszahl der neu angeschlossenen Wärmepumpenanlage die Mindestanforderungen des Bundesamts für Wirtschaft und Ausfuhrkontrolle (JAZ ≥ 3,0)?",,,,,
1610,,,Erfüllt die KWK-Anlage die Voraussetzungen nach § 6 Absatz 1 und 2 des KWKG bezüglich technischer und wirtschaftlicher Kriterien?,,,,,
2436,,,Erfüllt die PV-Anlage die technischen Anforderungen des EEG?,,,,,
2347,,,Erhöht die Maßnahme die Energieeffizienz des Gebäudes oder den Anteil erneuerbarer Energien am Endenergieverbrauch?,,,,,
2026,,,"Erklären die Antragssteller:innen, die geförderten Maßnahmen innerhalb von zehn Jahren (bei Mini-PV-Anlagen fünf Jahren) in ihrer Funktion aufrecht zu halten und nur mit Zustimmung der Fördermittelgeberin rückzubauen oder zu entfernen?",,,,,
2191,,,Ermöglichen die Antragsteller:innen den Beauftragten der Stadt die ordnungsgemäße Ausführung vor Ort zu überprüfen?,,,,,
2151,,,Ermöglichen Sie den Beauftragten der Stadt die ordnungsgemäße Ausführung der Maßnahmen vor Ort zu überprüfen?,,,,,
2043,,,"Ermöglichen Sie den Beauftragten der Stadt, die ordnungsgemäße Ausführung der Maßnahmen vor Ort zu überprüfen?",,,,,
2166,,,Erreicht der landwirtschaftliche Ertrag nach der Installation mindestens 66% eines Referenzertrages?,,,,,
1648,Wärmepumpen (WP) in Oldenburg,"https://serviceportal.oldenburg.de/buergerservice/dienstleistungen/foerderprogramm-klimaschutzmassnahmen-im-altbau-900000983-0.html?myMedium=1#:~:text=Jede%20einzelne%20bauliche%20Ma%C3%9Fnahme%20zur,Prozent%20brutto%20der%20Rechnungssumme%20gef%C3%B6rdert.&text=Bei%20Erf%C3%BCllung%20eines%20nach%20dem,3.000%20Euro%20je%20nach%20Effizienzklasse.",Erreicht die Jahresarbeitszahl (JAZ) der elektrisch betriebenen Wärmepumpe mindestens die geforderten Werte?,,,,,
2007,,,Falls das Dach für die Installation und den Betrieb einer Solaranlage anderen Personen zur Verfügung gestellt wird (z. B. Bürger:innensolaranlagen): Wurde vertraglich eine Nutzungsdauer von mindestens fünf Jahren vereinbart?,,,,,
2041,,,Falls das Gebäude als Kulturdenkmal eingestuft ist: Liegt eine denkmalschutzrechtliche Genehmigung vor?,,,,,
1925,,,Falls das Gebäude denkmalgeschützt ist: Werden die Anforderungen der BEG EM eingehalten?,,,,,
2117,,,Falls das Gebäude denkmalgeschützt ist: Werden die Anforderungen der BEG EM eingehalten?,,,,,
1797,,,"Falls die Maßnahme aufgrund nachweisbarer Lieferschwierigkeiten oder Installationsprobleme nicht bis zum 31. Dezember abgeschlossen werden kann: Ist Ihnen bewusst, dass die Förderung im darauffolgenden Jahr ausgezahlt werden kann, sofern Haushaltsmittel bereitstehen?",,,,,
1823,,,"Falls die Maßnahme aufgrund nachweisbarer Lieferschwierigkeiten oder Installationsprobleme nicht bis zum 31. Dezember abgeschlossen werden kann: Sind Sie sich bewusst, dass die Förderung im darauffolgenden Jahr ausgezahlt werden kann, sofern Haushaltsmittel bereitstehen?",,,,,
2422,,,Falls die Maßnahmen privat durchgeführt werden: Handelt es sich um Materialkosten für ein in Eigenbesitz befindliches Gebäude?,,,,,
1907,,,"Falls ein luftheizendes System verwendet wird: Ist in der Fachunternehmererklärung bestätigt, dass die Luftvolumenströme gemäß den rechnerisch ermittelten Einstellwerten einreguliert wurden?",,,,,
2015,,,Falls ein Passivhaus angestrebt wird: Wurde das Bauvorhaben von einem zugelassenen Büro des Passivhaus-Instituts auf Basis des Passivhaus-Projektierungspakets (PHPP) geplant und bestätigt?,,,,,
1699,,,Falls ein Passivhaus-Standard angestrebt wird: Wird das Bauvorhaben durch ein vom Passivhaus-Institut zugelassenes Büro auf Basis des Passivhaus-Projektierungspakets (PHPP) geplant und bestätigt?,,,,,
1779,,,Falls eine Aufstockung geplant ist: Umfasst diese mindestens 2 Wohneinheiten und eine zusätzliche Gesamt-Bruttogrundfläche von mindestens 100 m²n?,,,,,
1778,,,Falls eine Erweiterung geplant ist: Führt diese zu mindestens 3 Wohneinheiten und einer zusätzlichen Gesamt-Bruttogrundfläche von mindestens 300 m²n?,,,,,
1775,,,Falls eine Erweiterung oder Aufstockung geplant ist: Führt diese zu einer zusätzlichen Gesamt-Bruttogrundfläche von mindestens 100 m²n?,,,,,
1848,,,"Falls eine Innendämmung an einer Außenwand auf der Flurstücksgrenze geplant ist: Liegt ein begründeter Einzelfall vor, der von der IFB Hamburg genehmigt wurde?",,,,,
1725,,,Falls eine private Durchführung durch einen Fachhandwerker im eigenen Eigentum erfolgt: Werden ausschließlich Materialkosten geltend gemacht?,,,,,
1954,,,Falls eine private Durchführung durch einen Fachhandwerker im eigenen Eigentum erfolgt: Werden ausschließlich Materialkosten geltend gemacht?,,,,,
2303,,,Falls es sich nicht um das LAG-Management handelt: Wurde für das Projekt ein Nachweis über die regelgerechte Durchführung des LAG-Projektauswahlverfahrens erbracht?,,,,,
2310,,,Falls es sich nicht um das LAG-Management handelt: Wurde für das Projekt ein Nachweis über die regelgerechte Durchführung des LAG-Projektauswahlverfahrens erbracht?,,,,,
2315,,,Falls es sich nicht um das LAG-Management handelt: Wurde für das Projekt ein Nachweis über die regelgerechte Durchführung des LAG-Projektauswahlverfahrens erbracht?,,,,,
2131,,,"Falls es sich um Biomasseheizungen, Wärmepumpen, Brennstoffzellenheizungen, wasserstofffähige Heizungen oder innovative Heiztechnik handelt: Werden die durch die Anlagen versorgten Wohneinheiten oder Flächen nach der Maßnahme zu mindestens 65 % durch erneuerbare Energien beheizt?",,,,,
2145,,,"Falls es sich um Biomasseheizungen, Wärmepumpen, Brennstoffzellenheizungen, wasserstofffähige Heizungen oder innovative Heiztechnik handelt: Werden die durch die Anlagen versorgten Wohneinheiten oder Flächen nach der Maßnahme zu mindestens 65 % durch erneuerbare Energien beheizt?",,,,,
1893,,,"Falls es sich um die Nutzung unvermeidbarer Abwärme handelt: Können Sie gegenüber der zuständigen Fachbehörde plausibel nachweisen, dass die genutzte Abwärme nicht ursächlich für die Bereitstellung dieser Wärme ist?",,,,,
1891,,,Falls es sich um die Wärmeversorgung eines neuen Gebäudes handelt: Wird auch der Wärmebedarf für das Trinkwarmwasser aus dem Wärmeverteilnetz gedeckt?,,,,,
1902,,,Falls es sich um ein anderes Projekt als das LAG-Management handelt: Wurde das LAG-Projektauswahlverfahren regelgerecht durchgeführt und liegt ein entsprechender Nachweis vor?,,,,,
2194,,,Falls es sich um ein anderes Projekt als das LAG-Management handelt: Wurde für das Projekt ein Nachweis über die regelgerechte Durchführung des LAG-Projektauswahlverfahrens durch eine anerkannte LAG erbracht?,,,,,
2234,,,Falls es sich um ein anderes Projekt als das LAG-Management handelt: Wurde für das Projekt ein Nachweis über die regelgerechte Durchführung des LAG-Projektauswahlverfahrens durch eine anerkannte LAG erbracht?,,,,,
2110,,,Falls es sich um ein anderes Projekt als das LAG-Management handelt: Wurde für das Projekt ein Nachweis über die regelgerechte Durchführung des LAG-Projektauswahlverfahrens erbracht?,,,,,
2091,,,Falls es sich um ein anderes Projekt als das LAG-Management handelt: Wurde für jedes Projekt ein Nachweis über die regelgerechte Durchführung des LAG-Projektauswahlverfahrens durch eine anerkannte LAG erbracht?,,,,,
1711,,,Falls es sich um ein anderes Projekt handelt: Wurde das LAG-Projektauswahlverfahren regelgerecht durchgeführt und liegt ein entsprechender Nachweis vor?,,,,,
1731,,,Falls es sich um ein anderes Projekt handelt: Wurde das LAG-Projektauswahlverfahren regelgerecht durchgeführt und liegt ein entsprechender Nachweis vor?,,,,,
2074,,,"Falls es sich um eine Neuanlage mit einer Leistung über 100 kW handelt: Ist Ihnen bewusst, dass die Förderung auf 45% der installierten Leistung begrenzt ist?",,,,,
2259,,,"Falls es sich um einen nicht gelisteten Anlagentyp handelt, wurde mit dem Verwendungsnachweis die Messbescheinigung des Schornsteinfegers für Heizkessel für feste Brennstoffe nach Anlage 2 der Verordnung über kleine und mittlere Feuerungsanlagen (BGBl. I S. 38 Januar 2010) vorgelegt?)?",,,,,
1607,,,Falls Fachhandwerker:innen in ihrem eigenen Eigentum die Maßnahme privat durchführen: Werden ausschließlich Materialkosten geltend gemacht?,,,,,
2576,,,"Falls ja, sind Sie bereit, die Eigenbauleistung bei der Antragstellung anzugeben und fotografisch zu dokumentieren?",,,,,
1777,,,"Falls Ja: Entspricht der Neubau den Gebäudeklassen 3, 4 oder 5 gemäß der Bayerischen Bauordnung (BayBO) und verfügt über mindestens 3 Wohneinheiten sowie eine Gesamt-Bruttogrundfläche (BGF) von mindestens 300 m²n?",,,,,
1774,,,Falls Ja: Verfügt der Neubau über eine Gesamt-Bruttogrundfläche (BGF) von mindestens 300 m²n?,,,,,
2567,,,Falls Ja: Wird ein hydraulischer Abgleich nach dem Verfahren B der VdZ-Fachregel „Optimierung von Heizungsanlagen im Bestand“ durchgeführt?,,,,,
1969,,,"Falls ja: Wurde spätestens 3 Wochen nach Erteilung der immissionsschutzrechtlichen Genehmigung der Bundesnetzagentur mitgeteilt, dass die Anlage eine Bürgerenergiegesellschaft ist und die entsprechende Definition erfüllt?",,,,,
2256,,,Falls keine thermische Solaranlage verwendet wird: Wird die Anlage in Kombination mit einer neu zu errichtenden (maximal 3 Monate in Betrieb) Photovoltaikanlage mit einer Nennleistung von mindestens 4 Kilowatt-Peak betrieben?,,,,,
2342,,,"Falls nein, wird ein hydraulischer Abgleich nach Verfahren B gemäß den Fachregeln der „VdZ – Wirtschaftsvereinigung Gebäude und Energie e.V.“ durchgeführt?",,,,,
2477,,,"Falls Sie nicht Eigentümer\*in des Grundstücks sind, stellen Sie sicher, dass der Zugang für eine Prüfung anderweitig gewährleistet ist?",,,,,
1988,,,Falls zusätzlicher Wohnraum geschaffen wird: Wird dieser für mindestens zehn Jahre vermietet (nicht selbst genutzt)?,,,,,
2496,progres.nrw - Klimaschutztechnik: Wohngebäude im Drei-Liter-Haus-Standard einschließlich Lüftungsanlagen,https://www.bra.nrw.de/energie-bergbau/foerderprogramme-fuer-klimaschutz-und-energiewende/foerderbereiche/gebaeude-neu-und-umbauten/foerderung-von-wohngebaeuden-im-drei-liter-haus-standard-einschliesslich-lueftungsanlagen,,,,,,
2367,,,"Führen die Maßnahmen zu einer Verfestigung von vorhandenen städtebaulichen Missständen, obwohl sie stil- und fachgerecht ausgeführt werden?",,,,,
2439,Förderung der energetischen und stofflichen Nutzung nachwachsender Rohstoffe: Biomassefeuerungsanlage,https://www.wibank.de/wibank/biomassefeuerungsanlagen-in-hessen/foerderung-von-biomassefeuerungsanlagen-in-hessen-312070,,,,,,
1659,,,Führt die Maßnahme zu einer Erhöhung der Energieeffizienz des Gebäudes und/oder zu einem höheren Anteil erneuerbarer Energien am Endenergieverbrauch?,,,,,
1800,,,Führt die Maßnahme zu einer Erhöhung der Energieeffizienz des Gebäudes und/oder zu einem höheren Anteil erneuerbarer Energien am Endenergieverbrauch?,,,,,
2018,,,Führt die Maßnahme zu einer Erhöhung der Energieeffizienz des Gebäudes und/oder zu einem höheren Anteil erneuerbarer Energien am Endenergieverbrauch?,,,,,
2050,,,Führt die Maßnahme zu einer Erhöhung der Energieeffizienz des Gebäudes und/oder zu einem höheren Anteil erneuerbarer Energien am Endenergieverbrauch?,,,,,
2123,,,Führt die Maßnahme zu einer Erhöhung der Energieeffizienz des Gebäudes und/oder zu einem höheren Anteil erneuerbarer Energien am Endenergieverbrauch?,,,,,
2137,,,Führt die Maßnahme zu einer Erhöhung der Energieeffizienz des Gebäudes und/oder zu einem höheren Anteil erneuerbarer Energien am Endenergieverbrauch?,,,,,
1691,,,Für andere Projekte: Wurde das LAG-Projektauswahlverfahren regelgerecht durchgeführt und liegt ein entsprechender Nachweis vor?,,,,,
2369,,,"Gehören Sie zu einem Haushalt, der sich hohe Stromkosten nicht mehr leisten kann oder will?",,,,,
2504,,,,,,,,
2455,,,Gelten für denkmalgeschützte Gebäude die Anforderungen der BEG EM?,,,,,
2179,,,"Haben die Antragsteller:innen zur Kenntnis genommen, dass kein Rechtsanspruch auf eine Förderung besteht und die individuelle Prüfung und Durchführung in der Verantwortung der IBB Business Team GmbH und der Investitionsbank Berlin liegt?",,,,,
2175,,,Haben die Eigentümer:innen noch nicht mehr als drei ENEO-Förderzusagen für Gebäude in ihrem Bestand in diesem Jahr erhalten?,,,,,
2460,Erneuerbare Wärme - Fördermodul Erschließung von Wärmequellen,https://www.ifbhh.de/foerderprogramm/erneuerbare-waerme,Haben Sie bereits mit den Maßnahmen begonnen?,,,,,
2484,Ulmer Energieförderprogramm,https://www.ulm.de/leben-in-ulm/umwelt-energie-entsorgung/energie-und-klimaschutz/energiefoerderprogramm,Haben Sie das Antragsformular für mehrere Maßnahmen verwendet?,,,,,
2345,KlimaBonus Karlsruhe,https://www.karlsruhe.de/mobilitaet-stadtbild/bauen-und-immobilien/wohnen#c96327:~:text=F%C3%B6rderung%20f%C3%BCr%20den%20Klimaschutz%20(KlimaBonus%20Karlsruhe),Haben Sie den Antrag vor Beginn der Arbeiten am Gebäude gestellt?,,,,,
2368,"Stromspar-Check 150,00 €",https://www.bundesregierung.de/breg-de/themen/tipps-fuer-verbraucher/stromspar-check-2022430,"Haben Sie ein geringes Einkommen, das Sie für die Teilnahme qualifiziert?",,,,,
2319,,,"Haben Sie eine Abnahmebescheinigung für die eingebaute Mess-, Steuer- und Regelungstechnik sowie Übertragungstechnik erhalten?",,,,,
2320,,,"Haben Sie eine Einwilligung zur Datenübermittlung, Datenspeicherung und Datenauswertung (unter Berücksichtigung des Datenschutzes) erteilt?",,,,,
2543,,,"Haben Sie eine Energiebilanz erstellt, die sowohl den Ist-Zustand des Gebäudes als auch den durch die geförderte Maßnahme erreichten Zustand darstellt?",,,,,
2389,,,Haben Sie eine Fachunternehmererklärung über die fachgerechte Montage?,,,,,
1599,,,"Haben Sie einen Haushaltsplan aufgestellt, der von der oberen Flurbereinigungsbehörde genehmigt wurde?",,,,,
2317,,,Haben Sie einen Zuwendungsbescheid des BAFA für eine elektrische Wärmepumpe oder einen Förderbescheid der KfW für ein KfW-Effizienzhaus bzw. eine Finanzierungszusage der KfW von Ihrer Hausbank vorgelegt?,,,,,
2385,,,Haben Sie mit der Maßnahme vor Erteilung des Zuwendungsbescheids begonnen?,,,,,
2250,Fassadenprogramm Altötting,https://www.altoetting.de/rathaus/stadtverwaltung/abteilung-iii-bauen-planen-und-umwelt/fassadenprogramm/,"Haben Sie sichergestellt, dass die Maßnahmen erst nach Erhalt des Bewilligungsbescheids der Stadt Altötting oder mit deren vorheriger schriftlicher Zustimmung begonnen wurden?",,,,,
2316,Förderung von Wärmepumpen in ausgewählten niedersächsischen Wohnquartieren,https://www.nbank.de/F%C3%B6rderprogramme/Aktuelle-F%C3%B6rderprogramme/W%C3%A4rmepumpenquartiere.html#wenfoerdernwir,Haben Sie vor Beginn der Maßnahme eine „Eingangsbestätigung“ durch die KEAN erhalten?,,,,,
2461,,,Haben Sie vor Beginn der Maßnahmen die Zustimmung der Bewilligungsstelle eingeholt?,,,,,
2321,Erneuerbare Wärme - Fördermodul Wärmespeicher,https://www.ifbhh.de/foerderprogramm/erneuerbare-waerme,Haben Sie vor Maßnahmenbeginn die Zustimmung der Bewilligungsstelle eingeholt?,,,,,
2372,,,Halten Sie die Technischen Mindestanforderungen (TMA) des Programms „Bundesförderung für effiziente Gebäude – Wohngebäude (BEG WG)“ ein?,,,,,
1765,,,Handelt es sich bei dem Batteriespeicher um einen neuen Gegenstand?,,,,,
1861,Energieeffizientes Wohnen,https://www.ergolding.de/allg_infos/foerderprogramme/,,,,,,
